hour,temperature,date
0,8,2023-04-22
1,9,2023-04-22
2,9,2023-04-22
3,9,2023-04-22
4,8,2023-04-22
5,8,2023-04-22
6,8,2023-04-22
7,9,2023-04-22
8,11,2023-04-22
9,13,2023-04-22
10,13,2023-04-22
11,14,2023-04-22
12,15,2023-04-22
13,15,2023-04-22
14,15,2023-04-22
15,16,2023-04-22
16,17,2023-04-22
17,17,2023-04-22
18,17,2023-04-22
19,16,2023-04-22
20,14,2023-04-22
21,12,2023-04-22
22,10,2023-04-22
23,10,2023-04-22
24,8,2023-04-22
25,8,2023-04-23
26,9,2023-04-23
27,10,2023-04-23
28,10,2023-04-23
29,9,2023-04-23
30,9,2023-04-23
31,9,2023-04-23
32,9,2023-04-23
33,10,2023-04-23
34,11,2023-04-23
35,13,2023-04-23
36,14,2023-04-23
37,13,2023-04-23
38,13,2023-04-23
39,13,2023-04-23
40,14,2023-04-23
41,14,2023-04-23
42,14,2023-04-23
43,13,2023-04-23
44,12,2023-04-23
45,11,2023-04-23
46,10,2023-04-23
47,11,2023-04-23
48,10,2023-04-23
49,10,2023-04-24
50,9,2023-04-24
51,8,2023-04-24
52,8,2023-04-24
53,7,2023-04-24
54,6,2023-04-24
55,6,2023-04-24
56,7,2023-04-24
57,8,2023-04-24
58,9,2023-04-24
59,9,2023-04-24
60,9,2023-04-24
61,10,2023-04-24
62,9,2023-04-24
63,10,2023-04-24
64,11,2023-04-24
65,11,2023-04-24
66,11,2023-04-24
67,10,2023-04-24
68,10,2023-04-24
69,7,2023-04-24
70,4,2023-04-24
71,3,2023-04-24
72,2,2023-04-24
73,3,2023-04-25
74,2,2023-04-25
75,1,2023-04-25
76,0,2023-04-25
77,1,2023-04-25
78,0,2023-04-25
79,3,2023-04-25
80,6,2023-04-25
81,9,2023-04-25
82,12,2023-04-25
83,13,2023-04-25
84,12,2023-04-25
85,12,2023-04-25
86,13,2023-04-25
87,14,2023-04-25
88,14,2023-04-25
89,14,2023-04-25
90,14,2023-04-25
91,13,2023-04-25
92,12,2023-04-25
93,10,2023-04-25
94,8,2023-04-25
95,5,2023-04-25
96,4,2023-04-25
97,3,2023-04-26
98,3,2023-04-26
99,3,2023-04-26
100,2,2023-04-26
101,5,2023-04-26
102,6,2023-04-26
103,8,2023-04-26
104,10,2023-04-26
105,10,2023-04-26
106,10,2023-04-26
107,9,2023-04-26
108,10,2023-04-26
109,10,2023-04-26
110,11,2023-04-26
111,11,2023-04-26
112,11,2023-04-26
113,11,2023-04-26
114,11,2023-04-26
115,10,2023-04-26
116,9,2023-04-26
117,6,2023-04-26
118,4,2023-04-26
119,3,2023-04-26
120,3,2023-04-26
121,3,2023-04-27
122,3,2023-04-27
123,4,2023-04-27
124,3,2023-04-27
125,4,2023-04-27
126,4,2023-04-27
127,5,2023-04-27
128,6,2023-04-27
129,7,2023-04-27
130,8,2023-04-27
131,9,2023-04-27
132,11,2023-04-27
133,10,2023-04-27
134,11,2023-04-27
135,11,2023-04-27
136,10,2023-04-27
137,11,2023-04-27
138,11,2023-04-27
139,10,2023-04-27
140,9,2023-04-27
141,7,2023-04-27
142,6,2023-04-27
143,4,2023-04-27
144,4,2023-04-27

145,3,2023-04-28
146,2,2023-04-28
147,1,2023-04-28
148,0,2023-04-28
149,0,2023-04-28
150,1,2023-04-28
151,6,2023-04-28
152,8,2023-04-28
153,10,2023-04-28
154,12,2023-04-28
155,13,2023-04-28
156,15,2023-04-28
157,14,2023-04-28
158,14,2023-04-28
159,14,2023-04-28
160,14,2023-04-28
161,14,2023-04-28
162,13,2023-04-28
163,11,2023-04-28
164,12,2023-04-28
165,8,2023-04-28
166,9,2023-04-28
167,6,2023-04-28
168,5,2023-04-28
